"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","360","Checking landing page and links","MobileChrome","Tue Mar 25 15:50:27 GMT 2025","passed","Tue Mar 25 15:50:28 GMT 2025","E2E tests","POM.spec.ts","",""
"","1285","error path - year error checker","firefox","Tue Mar 25 15:50:31 GMT 2025","failed","Tue Mar 25 15:50:33 GMT 2025","E2E tests","POM.spec.ts","",""
"","1910","happy path - no","chromium","Tue Mar 25 15:50:20 GMT 2025","passed","Tue Mar 25 15:50:22 GMT 2025","E2E tests","POM.spec.ts","",""
"","954","error path - checking error message","MobileChrome","Tue Mar 25 15:50:28 GMT 2025","passed","Tue Mar 25 15:50:29 GMT 2025","E2E tests","POM.spec.ts","",""
"","652","single page analysis","MicrosoftEdge","Tue Mar 25 15:50:34 GMT 2025","passed","Tue Mar 25 15:50:34 GMT 2025","E2E tests","POM.spec.ts","",""
"","2007","error path - checking error message","webkit","Tue Mar 25 15:50:26 GMT 2025","passed","Tue Mar 25 15:50:28 GMT 2025","E2E tests","POM.spec.ts","",""
"","398","Checking landing page and links","MobileSafari","Tue Mar 25 15:50:29 GMT 2025","passed","Tue Mar 25 15:50:29 GMT 2025","E2E tests","POM.spec.ts","",""
"","938","Checking landing page and links","chromium","Tue Mar 25 15:50:20 GMT 2025","passed","Tue Mar 25 15:50:21 GMT 2025","E2E tests","POM.spec.ts","",""
"","601","error path - year error checker","MobileChrome","Tue Mar 25 15:50:32 GMT 2025","failed","Tue Mar 25 15:50:33 GMT 2025","E2E tests","POM.spec.ts","",""
"","496","single page analysis","firefox","Tue Mar 25 15:50:23 GMT 2025","passed","Tue Mar 25 15:50:24 GMT 2025","E2E tests","POM.spec.ts","",""
"","1694","happy path - no","firefox","Tue Mar 25 15:50:22 GMT 2025","passed","Tue Mar 25 15:50:24 GMT 2025","E2E tests","POM.spec.ts","",""
"","4612","error path - year error checker","MicrosoftEdge","Tue Mar 25 15:50:40 GMT 2025","failed","Tue Mar 25 15:50:45 GMT 2025","E2E tests","POM.spec.ts","",""
"","2177","error path - checking error message","chromium","Tue Mar 25 15:50:20 GMT 2025","passed","Tue Mar 25 15:50:22 GMT 2025","E2E tests","POM.spec.ts","",""
"","1677","error path - checking error message","firefox","Tue Mar 25 15:50:23 GMT 2025","passed","Tue Mar 25 15:50:25 GMT 2025","E2E tests","POM.spec.ts","",""
"","1161","error path - checking error message","MobileSafari","Tue Mar 25 15:50:30 GMT 2025","passed","Tue Mar 25 15:50:31 GMT 2025","E2E tests","POM.spec.ts","",""
"","357","single page analysis","MobileChrome","Tue Mar 25 15:50:28 GMT 2025","passed","Tue Mar 25 15:50:29 GMT 2025","E2E tests","POM.spec.ts","",""
"","767","Checking landing page and links","firefox","Tue Mar 25 15:50:22 GMT 2025","passed","Tue Mar 25 15:50:23 GMT 2025","E2E tests","POM.spec.ts","",""
"","1555","happy path - no","webkit","Tue Mar 25 15:50:25 GMT 2025","passed","Tue Mar 25 15:50:26 GMT 2025","E2E tests","POM.spec.ts","",""
"","715","error path - year error checker","MobileSafari","Tue Mar 25 15:50:38 GMT 2025","failed","Tue Mar 25 15:50:38 GMT 2025","E2E tests","POM.spec.ts","",""
"","1554","error path - checking error message","MicrosoftEdge","Tue Mar 25 15:50:33 GMT 2025","passed","Tue Mar 25 15:50:35 GMT 2025","E2E tests","POM.spec.ts","",""
"","1295","happy path - no","MobileSafari","Tue Mar 25 15:50:29 GMT 2025","passed","Tue Mar 25 15:50:30 GMT 2025","E2E tests","POM.spec.ts","",""
"","537","single page analysis","webkit","Tue Mar 25 15:50:26 GMT 2025","passed","Tue Mar 25 15:50:27 GMT 2025","E2E tests","POM.spec.ts","",""
"","631","Checking landing page and links","webkit","Tue Mar 25 15:50:25 GMT 2025","passed","Tue Mar 25 15:50:25 GMT 2025","E2E tests","POM.spec.ts","",""
"","2222","happy path - no","MicrosoftEdge","Tue Mar 25 15:50:31 GMT 2025","passed","Tue Mar 25 15:50:34 GMT 2025","E2E tests","POM.spec.ts","",""
"","411","single page analysis","MobileSafari","Tue Mar 25 15:50:31 GMT 2025","passed","Tue Mar 25 15:50:31 GMT 2025","E2E tests","POM.spec.ts","",""
"","1330","Checking landing page and links","MicrosoftEdge","Tue Mar 25 15:50:31 GMT 2025","passed","Tue Mar 25 15:50:32 GMT 2025","E2E tests","POM.spec.ts","",""
"","874","error path - year error checker","chromium","Tue Mar 25 15:50:26 GMT 2025","failed","Tue Mar 25 15:50:27 GMT 2025","E2E tests","POM.spec.ts","",""
"","1011","single page analysis","chromium","Tue Mar 25 15:50:20 GMT 2025","passed","Tue Mar 25 15:50:21 GMT 2025","E2E tests","POM.spec.ts","",""
"","967","happy path - no","MobileChrome","Tue Mar 25 15:50:27 GMT 2025","passed","Tue Mar 25 15:50:28 GMT 2025","E2E tests","POM.spec.ts","",""
"","672","error path - year error checker","webkit","Tue Mar 25 15:50:30 GMT 2025","failed","Tue Mar 25 15:50:31 GMT 2025","E2E tests","POM.spec.ts","",""
